noise_density,noise_magnitude,method,nmi,simulation,signal_strength
0.05,14.0,rpca,0.7648442977525683,4,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,14.0,spectral_unnormalized,0.036865411084647505,5,2.0
0.05,14.0,rpca,0.8347636587075117,5,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,14.0,spectral_unnormalized,0.058519792136740086,6,2.0
0.05,14.0,rpca,0.8585594574581795,6,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,14.0,spectral_unnormalized,0.44174399926474145,7,2.0
0.05,14.0,rpca,0.7577078109175857,7,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,14.0,spectral_unnormalized,0.8347636587075117,8,2.0
0.05,14.0,rpca,0.9291252238549075,8,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,14.0,spectral_unnormalized,0.2743987069926899,9,2.0
0.05,14.0,rpca,0.8782063702756283,9,2.0
0.05,14.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,16.0,spectral_unnormalized,0.1586357380516931,0,2.0
0.05,16.0,rpca,0.7577078109175857,0,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,16.0,spectral_unnormalized,0.0013366261245429105,1,2.0
0.05,16.0,rpca,0.8079616479391557,1,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,16.0,spectral_unnormalized,0.06163320602717391,2,2.0
0.05,16.0,rpca,0.8347636587075117,2,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,16.0,spectral_unnormalized,0.09938001420152784,3,2.0
0.05,16.0,rpca,0.8585594574581797,3,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,3,2.0
0.05,16.0,spectral_unnormalized,0.08930266695479416,4,2.0
0.05,16.0,rpca,0.7648442977525683,4,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,4,2.0
0.05,16.0,spectral_unnormalized,0.005353485220424157,5,2.0
0.05,16.0,rpca,0.8347636587075117,5,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,5,2.0
0.05,16.0,spectral_unnormalized,0.02964327933391515,6,2.0
0.05,16.0,rpca,0.8585594574581795,6,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,6,2.0
0.05,16.0,spectral_unnormalized,0.175053748528183,7,2.0
0.05,16.0,rpca,0.7577078109175857,7,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,7,2.0
0.05,16.0,spectral_unnormalized,0.03705068107641364,8,2.0
0.05,16.0,rpca,0.9291252238549075,8,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,8,2.0
0.05,16.0,spectral_unnormalized,0.2099968425759489,9,2.0
0.05,16.0,rpca,0.8782063702756283,9,2.0
0.05,16.0,outlier_pursuit,0.018639764244343528,9,2.0
0.05,18.0,spectral_unnormalized,0.1586357380516931,0,2.0
0.05,18.0,rpca,0.7577078109175857,0,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,0,2.0
0.05,18.0,spectral_unnormalized,0.0030699128472179648,1,2.0
0.05,18.0,rpca,0.8079616479391557,1,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,1,2.0
0.05,18.0,spectral_unnormalized,0.02494829650775533,2,2.0
0.05,18.0,rpca,0.8347636587075117,2,2.0
0.05,18.0,outlier_pursuit,0.018639764244343528,2,2.0
0.05,18.0,spectral_unnormalized,0.054496040820052626,3,2.0
0.05,18.0,rpca,0.8585594574581797,3,2.0
